"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/13/2025","6/13/2025","6/16/2025","NVDA","NVDA 6/13/2025 Call $140.00","OASGN","1","",""
"6/13/2025","6/13/2025","6/16/2025","NVDA","NVIDIA
CUSIP: 67066G104
1 NVDA Option Assigned","Sell","100","$140.00","$13,999.98"
"6/13/2025","6/13/2025","6/16/2025","NVDA","Option Expiration for NVDA 6/13/2025 Put $138.00","OEXP","1","",""
"6/9/2025","6/9/2025","6/10/2025","NVDA","NVDA 6/13/2025 Put $138.00","STO","1","$0.69","$68.95"
"6/6/2025","6/6/2025","6/9/2025","NVDA","Option Expiration for NVDA 6/6/2025 Put $133.00","OEXP","1","",""
"6/2/2025","6/2/2025","6/3/2025","NVDA","NVDA 6/6/2025 Put $133.00","STO","1","$0.78","$77.95"
"6/2/2025","6/2/2025","6/3/2025","","ACH Deposit","ACH","","","$2,000.00"
"6/2/2025","6/2/2025","6/3/2025","NVDA","NVDA 6/13/2025 Call $140.00","STO","1","$2.55","$254.95"
"5/30/2025","5/30/2025","6/2/2025","NVDA","Option Expiration for NVDA 5/30/2025 Call $136.00","OEXP","1","",""
"5/30/2025","5/30/2025","6/2/2025","NVDA","Option Expiration for NVDA 5/30/2025 Put $119.00","OEXP","1","",""
"5/30/2025","5/30/2025","5/30/2025","","Interest Payment","INT","","","$2.95"
"5/14/2025","5/14/2025","5/15/2025","NVDA","NVDA 5/30/2025 Put $119.00","STO","1","$1.43","$142.95"
"5/14/2025","5/14/2025","5/15/2025","NVDA","NVDA 5/23/2025 Put $106.00","BTC","1","$0.11","($11.04)"
"5/14/2025","5/14/2025","5/15/2025","NVDA","NVDA 5/30/2025 Call $136.00","STO","1","$5.37","$536.95"
"5/14/2025","5/14/2025","5/15/2025","NVDA","NVDA 5/16/2025 Call $123.00","BTC","1","$9.75","($975.04)"
"5/7/2025","5/7/2025","5/8/2025","NVDA","NVDA 5/16/2025 Call $123.00","STO","1","$1.41","$140.94"
"5/6/2025","5/6/2025","5/7/2025","NVDA","NVDA 5/23/2025 Put $106.00","STO","1","$1.83","$182.94"
"5/6/2025","5/6/2025","5/7/2025","NVDA","NVDA 5/9/2025 Put $98.00","BTC","1","$0.07","($7.04)"
"5/2/2025","5/2/2025","5/5/2025","NVDA","Option Expiration for NVDA 5/2/2025 Call $115.00","OEXP","1","",""
"4/30/2025","4/30/2025","4/30/2025","","Interest Payment","INT","","","$17.73"
"4/24/2025","4/24/2025","4/25/2025","NVDA","NVDA 5/2/2025 Call $115.00","STO","1","$0.52","$51.94"
"4/24/2025","4/24/2025","4/25/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","1","$105.91","($105.91)"
"4/24/2025","4/24/2025","4/25/2025","NVDA","NVDA 5/9/2025 Put $98.00","STO","1","$1.50","$149.94"
"4/24/2025","4/24/2025","4/25/2025","NVDA","NVDA 5/2/2025 Put $89.00","BTC","1","$0.16","($16.04)"
"4/23/2025","4/23/2025","4/23/2025","","Gold Subscription Fee","GOLD","","","($50.00)"
"4/21/2025","4/21/2025","4/22/2025","NVDA","NVDA 5/2/2025 Put $89.00","STO","1","$1.94","$193.94"
"4/9/2025","4/9/2025","4/10/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","33","$113.26","$3,737.47"
"4/9/2025","4/9/2025","4/10/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","37","$113.26","$4,190.50"
"4/9/2025","4/9/2025","4/10/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","31","$113.26","$3,510.96"
"4/9/2025","4/9/2025","4/10/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","0.008917","$113.26","$1.01"
"4/9/2025","4/9/2025","4/10/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","0.350754","$113.27","$39.73"
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVDA 4/4/2025 Put $112.00","OASGN","1","",""
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVIDIA
CUSIP: 67066G104
1 NVDA Option Assigned","Buy","100","$112.00","($11,200.00)"
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVDA 4/4/2025 Put $109.00","OASGN","1","",""
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVIDIA
CUSIP: 67066G104
1 NVDA Option Assigned","Buy","100","$109.00","($10,900.00)"
"4/2/2025","4/2/2025","4/2/2025","NVDA","Cash Div: R/D 2025-03-12 P/D 2025-04-02 - 8.41475 shares at 0.01","CDIV","","","$0.08"
"3/31/2025","3/31/2025","3/31/2025","","Interest Payment","INT","","","$0.15"
"3/25/2025","3/25/2025","3/26/2025","NVDA","NVDA 4/4/2025 Put $112.00","STO","1","$0.80","$79.94"
